,p,d,q,mse
18,3,1,3,5.293493273478403e+18
12,2,1,2,5.300493130508383e+18
0,0,1,0,5.306920714285714e+18
13,2,1,3,5.307175305984658e+18
17,3,1,2,5.311700693238716e+18
19,3,1,4,5.312798057724023e+18
23,4,1,3,5.313520411894895e+18
24,4,1,4,5.313986039089008e+18
11,2,1,1,5.319236287464753e+18
7,1,1,2,5.319536511258754e+18
15,3,1,0,5.322270251482415e+18
14,2,1,4,5.322385146074177e+18
8,1,1,3,5.323530154887429e+18
3,0,1,3,5.323677787639988e+18
16,3,1,1,5.323964682325957e+18
20,4,1,0,5.324374716187382e+18
21,4,1,1,5.324515772297834e+18
22,4,1,2,5.324576854570353e+18
9,1,1,4,5.3250243197255e+18
4,0,1,4,5.325117097256194e+18
10,2,1,0,5.325793539718956e+18
2,0,1,2,5.326093902003523e+18
1,0,1,1,5.346123666208145e+18
6,1,1,1,5.346399294337607e+18
5,1,1,0,5.347052352762269e+18
